stop_id,stop_name,stop_lat,stop_lon
mxa_T11B_STP_43,Avenida Río Nilo,20.64443,-103.29
mxa_T11B_STP_44,Avenida Río Nilo,20.64473,-103.29286
mxa_T11B_STP_45,Avenida Río Nilo,20.64491,-103.29453
mxa_T11B_STP_46,Calle Diego Durán,20.64511,-103.29645
mxa_T11B_STP_47,Avenida Río Nilo,20.64543,-103.29929
mxa_T11B_STP_48,Río Nilo,20.64499,-103.30396
mxa_T11B_STP_49,Avenida Río Nilo,20.64462,-103.30471
mxa_T11B_STP_50,Avenida Río Nilo,20.64443,-103.30636
mxa_T11B_STP_51,Calle Carpinteros,20.64519,-103.30849
mxa_T11B_STP_53,Avenida Río Nilo,20.64642,-103.31213
mxa_T11B_STP_55,Avenida Río Nilo,20.64774,-103.316
mxa_T11B_STP_57,Avenida Río Nilo,20.64935,-103.32071
mxa_T11B_STP_63,Corregidora,20.65733,-103.32877
mxa_T11B_STP_64,TLAPALERIA MAGAÑA,20.65654,-103.33088
mxa_T11B_STP_67,Gabino Barreda,20.65883,-103.33626
mxa_T11B_STP_74,Avenida 16 de Septiembre,20.65856,-103.35151
mxa_T11B_STP_75,Avenida Circunvalación Agustín Yáñez,20.6587,-103.35434
mxa_T11B_STP_79,Avenida Circunvalación Agustín Yáñez,20.66118,-103.36089
mxa_T11B_STP_84,Eucalipto,20.65516,-103.36979
mxa_T11B_STP_89,Av. Mandarina,20.65885,-103.38202
mxa_T11B_STP_93,Avenida Mariano Otero,20.65397,-103.39366
mxa_T11B_STP_95,Plaza del Sol,20.65036,-103.39993
mxa_T11B_STP_96,Avenida Mariano Otero,20.64862,-103.40292
mxa_T11B_STP_97,Avenida Netzahualcóyotl,20.64775,-103.40596
mxa_T13A1_STP_01,Herrera y Cairo,20.50494,-103.17098
mxa_T13A1_STP_02,Herrera y Cairo,20.50673,-103.17061
mxa_T13A1_STP_03,Herrera y Cairo,20.509,-103.17029
mxa_T13A1_STP_04,Morelos,20.50932,-103.17147
